adapt_last_objective,anchor_name,anchor_step,art_painting_full_acc,bn_source,candidate_id,candidate_steps,coefficients,consistency_beta,delta_vs_base_art_painting_full_acc,delta_vs_base_test_env0_in_acc,delta_vs_base_test_env0_out_acc,distill_beta,entropy_beta,epochs,family,global_probe_index,interp_alpha,kl_beta,l2_lambda,loss_temperature,lr,mode,num_shards,optimizer,pca_coefficients,peer_a_step,peer_b_step,peer_step,probe_id,prototype_applied,pseudo_beta,sam_rho,scope,search_alpha,selection_score,shard_id,support_acc,support_mean_loss,support_top_alpha_loss,support_weight_mode,teacher_name,test_env0_in_acc,test_env0_out_acc,validation_mean_loss,view_names,weight_decay
,bestmean,7500,0.8251953125,,pca_0.00_0.50,,,0.0,0.00439453125,0.0012202562538132788,0.017114914425427896,0.0,0.0,0,pca_state_search,30,1.0,0.0,0.0,0.0,0.0,state_search,8,,"[0.0, 0.5]",,,,bestmean_pca_state_local,,0.0,0.0,classifier,,0.21609183680770333,6,0.9720972097209721,0.12102632061280691,0.6050724863482632,,,0.8200122025625382,0.8459657701711492,0.1123077358518328,,0.0
,bestmean,750,0.8486328125,,trust_blend_0.40,"[650, 700, 750, 800, 850]",,0.0,0.02783203125,0.02623550945698594,0.03422982885085579,0.0,0.0,0,trust_region_blend,31,1.0,0.0,0.0,0.0,0.0,state_search,8,,,,,,bestmean_trust_region_blend,,0.0,0.0,,0.4,0.214477286476334,7,0.963996399639964,0.12153449822162161,0.6056974367612233,,,0.8450274557657108,0.863080684596577,0.10208550095558167,,0.0
0.13596831717424923,bestval,11500,0.787109375,,,,,0.0,-0.03369140625,-0.033557046979865834,-0.03422982885085568,0.0,0.0,20,supervised_update,32,1.0,0.0,0.0,0.0,0.001,param_update,8,adam,,,,,bestval_clf_supervised,,0.0,0.0,classifier,,,0,0.9684968496849685,0.08825915503370199,0.4353270019667021,uniform,,0.785234899328859,0.7946210268948656,0.10019926989779752,[],0.0
0.44455887956751716,bestval,800,0.76708984375,,,,,0.0,-0.0537109375,-0.05430140329469191,-0.05134474327628358,0.0,0.0,18,hard_example_update,33,1.0,0.0,0.0,0.0,0.0005,param_update,8,adam,,,,,bestval_clf_hard_tail,,0.0,0.0,classifier,,,1,0.9648964896489649,0.12439607284515401,0.5535073597944873,top_alpha,,0.764490543014033,0.7775061124694377,0.14802606466437587,[],0.0
0.12286541880004936,bestval,4150,0.80859375,,,,,0.0,-0.01220703125,-0.007931665649786535,-0.02933985330073352,0.0,0.0,18,anchor_kl_update,34,1.0,0.2,0.0,0.0,0.0005,param_update,8,adam,,,,,bestval_clf_anchor_kl,,0.0,0.0,classifier,,,2,0.9594959495949595,0.11015631199240195,0.5381038491706287,uniform,,0.8108602806589383,0.7995110024449877,0.09110785782838068,[],0.0
0.12360178306698799,bestval,14250,0.76904296875,,,,,0.0,-0.0517578125,-0.0482001220256254,-0.0660146699266504,0.0,0.0,18,anchor_l2_update,35,1.0,0.0,0.0001,0.0,0.0005,param_update,8,adam,,,,,bestval_clf_anchor_l2,,0.0,0.0,classifier,,,3,0.9711971197119712,0.08641165646485842,0.4222597008069977,uniform,,0.7705918242830995,0.7628361858190709,0.10751768871515739,[],0.0
0.11127395927906036,bestval,5150,0.783203125,,,,,0.0,-0.03759765625,-0.03782794386821231,-0.03667481662591687,0.0,0.0,18,anchor_kl_l2_update,36,1.0,0.1,0.0001,0.0,0.0005,param_update,8,adam,,,,,bestval_clf_anchor_kl_l2,,0.0,0.0,classifier,,,4,0.9684968496849685,0.09467555260019805,0.46394422963611953,uniform,,0.7809640024405126,0.7921760391198044,0.10246025338894178,[],0.0
0.05409717440812124,bestval,11500,0.8095703125,,,,,0.0,-0.01123046875,-0.010982306284319732,-0.012224938875305624,0.0,0.0,18,pseudo_label_update,37,1.0,0.0,0.0,0.0,0.0005,param_update,8,adam,,,,,bestval_clf_pseudo_anchor,,1.0,0.0,classifier,,,5,0.9522952295229523,0.17255063848207727,0.8624333052779738,,,0.8078096400244051,0.8166259168704156,0.06970250944630439,[],0.0
0.024527055115969334,bestval,14000,0.7919921875,,,,,0.0,-0.02880859375,-0.02562538133007941,-0.041564792176039145,0.0,0.0,18,agreement_pseudo_update,38,1.0,0.0,0.0,0.0,0.0005,param_update,8,adam,,,,,bestval_clf_pseudo_agree_local,,1.0,0.0,classifier,,,6,0.963996399639964,0.16446218618975694,0.8222347572757375,,,0.7931665649786455,0.7872860635696821,0.08902136017294492,[],0.0
0.010442741085878678,bestval,6650,0.26806640625,,,,,0.75,-0.552734375,-0.5454545454545454,-0.5819070904645477,0.0,0.0,15,consistency_update,39,1.0,0.0,0.0,0.0,0.0005,param_update,8,adam,,,,,bestval_clf_consistency_views,,0.0,0.0,classifier,,,7,0.18091809180918092,5.527936035502218,9.154931431853363,,,0.2733374008541794,0.2469437652811736,5.240425654820034,"['hflip', 'rotate_p10', 'grayscale']",0.0
